0001,Dazit-Porphyr,“Porfido rosso antico“,,,
0001,Dazit-Porphyr,“Porfido rosso antico“,,,
0001,Dazit-Porphyr,“Porfido rosso antico“,,,
0001,Dazit-Porphyr,“Porfido rosso antico“,,,
0001,Dazit-Porphyr,“Porfido rosso antico“,,,
0003,Kap-Stachelschwein,(&lt;i&gt;Hystrix africaeaustralis&lt;/i&gt;),[Rasselbecher],,
0003,Kap-Stachelschwein,(&lt;i&gt;Hystrix africaeaustralis&lt;/i&gt;),[Rasselbecher],,
0003,Kap-Stachelschwein,(&lt;i&gt;Hystrix africaeaustralis&lt;/i&gt;),[Rasselbecher],,
0003,Kap-Stachelschwein,(&lt;i&gt;Hystrix africaeaustralis&lt;/i&gt;),[Rasselbecher],,
0003,Kap-Stachelschwein,(&lt;i&gt;Hystrix africaeaustralis&lt;/i&gt;),[Rasselbecher],,
0004,Limerick,(Steinmeteorit),,,
0004,Limerick,(Steinmeteorit),,,
0004,Limerick,(Steinmeteorit),,,
0004,Limerick,(Steinmeteorit),,,
0004,Limerick,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0646,Stannern,(Steinmeteorit),,,
0005,Stammstück,eines Baumfarns (&lt;i&gt;Cyathea arborea&lt;/i&gt;),,,
0005,Stammstück,eines Baumfarns (&lt;i&gt;Cyathea arborea&lt;/i&gt;),,,
0005,Stammstück,eines Baumfarns (&lt;i&gt;Cyathea arborea&lt;/i&gt;),,,
0005,Stammstück,eines Baumfarns (&lt;i&gt;Cyathea arborea&lt;/i&gt;),,,
0005,Stammstück,eines Baumfarns (&lt;i&gt;Cyathea arborea&lt;/i&gt;),,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0006,Fiederblättchen,und Sporangien des fossilen Farns &lt;i&gt;Scolecopteris elegans&lt;/i&gt;,,,
0007,Allanit-(Ce),7,Allanit-(Ce),,
0007,Allanit-(Ce),8,Brachiopode (&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0008,Brachiopode,(&lt;i&gt;Pliothyrina grandis&lt;/i&gt;),,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0010,Dazit-Porphyr,“Porfido rosso antico“,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0011,Vulkanische,Asche,,,
0012,Schwefel,12,Schwefel,,
0012,Schwefel,12,Schwefel,,
0012,Schwefel,12,Schwefel,,
0012,Schwefel,12,Schwefel,,
0013,Graphit,13,Graphit,,
0013,Graphit,13,Graphit,,
0013,Graphit,13,Graphit,,
0014,Chalkopyrit,14,Chalkopyrit,,
0014,Chalkopyrit,14,Chalkopyrit,,
0014,Chalkopyrit,14,Chalkopyrit,,
0014,Chalkopyrit,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0015,Kieselsinter,15,Kieselsinter,,
0016,Lapislazuli,16,Lapislazuli,,
0016,Lapislazuli,16,Lapislazuli,,
0016,Lapislazuli,16,Lapislazuli,,
0017,Schriftgranit,17,Schriftgranit,,
0017,Schriftgranit,17,Schriftgranit,,
0017,Schriftgranit,17,Schriftgranit,,
0018,Baryt,(auf Fluorit),,,
0018,Baryt,(auf Fluorit),,,
0018,Baryt,(auf Fluorit),,,
