SEQ,Orig Filename,INST.1,INST.2,INST.#,INST.#.2,INST.3A,DESC,Dimension,Foto-ID,Farbskala
67,GZGHST0477PliothyrinagrandisFarbskala,GZG,HST,0477,,,Pliothyrinagrandis,,,Farbskala
68,GZGHST0477PliothyrinagrandisFarbskala,GZG,HST,0477,,,Pliothyrinagrandis,,,Farbskala
69,GZGHST0478Pliothyrinagrandis,GZG,HST,0478,,,Pliothyrinagrandis,,,
70,GZGHST0478PliothyrinagrandisFarbskala,GZG,HST,0478,,,Pliothyrinagrandis,,,Farbskala
71,GZGHST0478PliothyrinagrandisFarbskala,GZG,HST,0478,,,Pliothyrinagrandis,,,Farbskala
72,AIG560OSmitUK39,,AIG,0560,,,OSmitUK,,039,
73,AIG769OSmitUK1,,AIG,0769,,,OSmitUK,,001,
74,AIG502Farbskala,,AIG,0502,,,,,,Farbskala
75,AIG513Farbskala,,AIG,0513,,,,,,Farbskala
76,AIG360Farbskala,,AIG,0360,,,,,,Farbskala
77,AIG360OSmitUK039,,AIG,0360,,,OSmitUK,,039,
78,AIG360OSmitUK039,,AIG,0360,,,OSmitUK,,039,
79,GZGHST0467Pliothyrinagrandis,GZG,HST,0467,,,Pliothyrinagrandis,,,
80,GZGHST0468Pliothyrinagrandis,GZG,HST,0468,,,Pliothyrinagrandis,,,
81,GZGHST0434Mammut,GZG,HST,0434,,,Mammut,,,
82,GZGHST0434MammutFarbskala,GZG,HST,0434,,,Mammut,,,Farbskala
83,GZGHST0434MammutFarbskala,GZG,HST,0434,,,Mammut,,,Farbskala
84,GZGHST0230Psaronius,GZG,HST,0230,,,Psaronius,,,
85,GZGHST0230PsaroniusFarbskala,GZG,HST,0230,,,Psaronius,,,Farbskala
86,GZGHST0230PsaroniusFarbskala,GZG,HST,0230,,,Psaronius,,,Farbskala
87,GZGHST0029Eisenmeteorit006,GZG,HST,0029,,,Eisenmeteorit,,006,
88,GZGHST0477Pliothyrinagrandis021,GZG,HST,0477,,,Pliothyrinagrandis,,021,
89,GZGHST0467Pliothyrinagrandis022,GZG,HST,0467,,,Pliothyrinagrandis,,022,
90,GZGHST0468Pliothyrinagrandis018,GZG,HST,0468,,,Pliothyrinagrandis,,018,
91,AIG369Farbskala,,AIG,0369,,,,,,Farbskala
92,AIG369039,,AIG,0369,,,,,039,
93,AIG391Farbskala,,AIG,0391,,,,,,Farbskala
94,AIG463Farbskala,,AIG,0463,,,,,,Farbskala
95,AIG454OSmitUK001,,AIG,0454,,,OSmitUK,,001,
