,HST0330,LimerickMeteorit
,HST0330,LimerickMeteorit
DSC022714Kopie
DSC022694Kopie
DSC022683
,HST0250,Cyatheaarborea
,HST0250,Cyatheaarborea
,HST0250,CyatheaarboreaEtikett
,HST0237,ScolecopteriselegansGestein
,HST0237,ScolecopteriselegansEtikett
,HST0237,ScolecopteriselegansGestein
,HST0237,ScolecopteriselegansEtikett
MIN839265Allanit
head
MIN839265Allanit
MIN839265AllanitEtikett
Scolecopteris360Animation
GZG,HST0450,Pliothyrinagrandis
GZG,HST0450,Pliothyrinagrandis,Farbskala
GZG,HST0450,Pliothyrinagrandis,Farbskala
GZG,HST0055,DazitPorphyr
GZG,HST0055,DazitPorphyr,Farbskala
GZG,HST0055,DazitPorphyr,Farbskala
GZG,HST0435,Chalkopyrit
GZG,HST0435,Chalkopyrit,Farbskala
GZG,HST0435,Chalkopyrit,Farbskala
GZG,HST0429,Kieselsinter
GZG,HST0429,Kieselsinter,Farbskala
GZG,HST0429,Kieselsinter,Farbskala
GZG,HST0421,Lasurstein
GZG,HST0421,Lasurstein,Farbskala
GZG,HST0421,Lasurstein,Farbskala
GZG,HST0449,FluoritBaryt
GZG,HST0449,FluoritBaryt
GZG,HST0449,FluoritBaryt,Farbskala
GZG,HST0449,FluoritBaryt,Farbskala
GZG,HST0446,Chaetetisradians
GZG,HST0446,Chaetetisradians,Farbskala
GZG,HST0446,Chaetetisradians,Farbskala
GZG,HST0436,04630464vulkanischeAschen,Farbskala
GZG,HST0436,04630464vulkanischeAschen
GZG,HST0436,04630464vulkanischeAschen,Farbskala
GZG,HST0436,04630464vulkanischeAschen,Farbskala
GZG,HST0436,vulkanischeAschen
GZG,HST0436,04630464vulkanischeAschen
GZG,HST0436,04630464vulkanischeAschen,Farbskala
GZG,HST0436,04630464vulkanischeAschen,Farbskala
GZG,HST0463,vulkanischeAschen
GZG,HST0436,04630464vulkanischeAschen
GZG,HST0436,04630464vulkanischeAschen,Farbskala
