IS EQUAL,,Disk,Database,ID,part id,Original Filename,PREFIX.1,PREFIX.2,FILENAME,UNIX TIMESTAMP,SUFFIX.1,SUFFIX.2,MIMETYPE,TIMESTAMP
TRUE,fuploadtxbolonlinePartIII,33326900GZGHST06322D02134846046259.16.JPG,33326900GZGHST06322D02134846046259.16.JPG,249,333,fuploadtxbolonlinePartIII33326900GZGHST06322D02134846046259.16.JPG,fuploadtxbolonline,PartIII33326900,GZGHST06322D02,1348460462,59,16,JPG,24/09/2012  04:21:02
TRUE,fuploadtxbolonlinePartII,76063100AIG524a134853723842.83.JPG,76063100AIG524a134853723842.83.JPG,1935,760,fuploadtxbolonlinePartII76063100AIG524a134853723842.83.JPG,fuploadtxbolonline,PartII76063100,AIG524a,1348537238,42,83,JPG,25/09/2012  01:40:38
TRUE,fuploadtxbolonlinePartII,76063110AIG524b134853723864.25.JPG,76063110AIG524b134853723864.25.JPG,1936,760,fuploadtxbolonlinePartII76063110AIG524b134853723864.25.JPG,fuploadtxbolonline,PartII76063110,AIG524b,1348537238,64,25,JPG,25/09/2012  01:40:38
TRUE,fuploadtxbolonlinePartII,76063120AIG524c134853723880.21.JPG,76063120AIG524c134853723880.21.JPG,1937,760,fuploadtxbolonlinePartII76063120AIG524c134853723880.21.JPG,fuploadtxbolonline,PartII76063120,AIG524c,1348537238,80,21,JPG,25/09/2012  01:40:38
TRUE,fuploadtxbolonlinePartII,76063130AIG524d134853723893.09.JPG,76063130AIG524d134853723893.09.JPG,1938,760,fuploadtxbolonlinePartII76063130AIG524d134853723893.09.JPG,fuploadtxbolonline,PartII76063130,AIG524d,1348537238,93,9,JPG,25/09/2012  01:40:38
TRUE,fuploadtxbolonlinePartII,76063140AIG524Detail1134853723917.32.JPG,76063140AIG524Detail1134853723917.32.JPG,1939,760,fuploadtxbolonlinePartII76063140AIG524Detail1134853723917.32.JPG,fuploadtxbolonline,PartII76063140,AIG524Detail1,1348537239,17,32,JPG,25/09/2012  01:40:39
TRUE,fuploadtxbolonlinePartII,76063100AIG524Detail2134853728746.09.JPG,76063100AIG524Detail2134853728746.09.JPG,1940,760,fuploadtxbolonlinePartII76063100AIG524Detail2134853728746.09.JPG,fuploadtxbolonline,PartII76063100,AIG524Detail2,1348537287,46,9,JPG,25/09/2012  01:41:27
TRUE,fuploadtxbolonlinePartII,76063110AIG524Detail3134853728776.92.JPG,76063110AIG524Detail3134853728776.92.JPG,1941,760,fuploadtxbolonlinePartII76063110AIG524Detail3134853728776.92.JPG,fuploadtxbolonline,PartII76063110,AIG524Detail3,1348537287,76,92,JPG,25/09/2012  01:41:27
TRUE,fuploadtxbolonlinePartII,76063120AIG524Detail4134853728792.88.JPG,76063120AIG524Detail4134853728792.88.JPG,1942,760,fuploadtxbolonlinePartII76063120AIG524Detail4134853728792.88.JPG,fuploadtxbolonline,PartII76063120,AIG524Detail4,1348537287,92,88,JPG,25/09/2012  01:41:27
TRUE,fuploadtxbolonlinePartII,76063130AIG524e134853728810.58.JPG,76063130AIG524e134853728810.58.JPG,1943,760,fuploadtxbolonlinePartII76063130AIG524e134853728810.58.JPG,fuploadtxbolonline,PartII76063130,AIG524e,1348537288,10,58,JPG,25/09/2012  01:41:28
TRUE,fuploadtxbolonlinePartII,76063140AIG524f134853728825.38.JPG,76063140AIG524f134853728825.38.JPG,1944,760,fuploadtxbolonlinePartII76063140AIG524f134853728825.38.JPG,fuploadtxbolonline,PartII76063140,AIG524f,1348537288,25,38,JPG,25/09/2012  01:41:28
TRUE,fuploadtxbolonlinePartII,76063120AIG524bersicht134853751866.57.JPG,76063120AIG524bersicht134853751866.57.JPG,1947,760,fuploadtxbolonlinePartII76063120AIG524bersicht134853751866.57.JPG,fuploadtxbolonline,PartII76063120,AIG524bersicht,1348537518,66,57,JPG,25/09/2012  01:45:18
TRUE,fuploadtxbolonlinePartII,76063100AIG524g134853751805.69.JPG,76063100AIG524g134853751805.69.JPG,1945,760,fuploadtxbolonlinePartII76063100AIG524g134853751805.69.JPG,fuploadtxbolonline,PartII76063100,AIG524g,1348537518,5,69,JPG,25/09/2012  01:45:18
TRUE,fuploadtxbolonlinePartII,76063110AIG524h134853751849.28.JPG,76063110AIG524h134853751849.28.JPG,1946,760,fuploadtxbolonlinePartII76063110AIG524h134853751849.28.JPG,fuploadtxbolonline,PartII76063110,AIG524h,1348537518,49,28,JPG,25/09/2012  01:45:18
TRUE,fuploadtxbolonlinePartI,71163100AIG524Detail4134854151390.91.JPG,71163100AIG524Detail4134854151390.91.JPG,245,711,fuploadtxbolonlinePartI71163100AIG524Detail4134854151390.91.JPG,fuploadtxbolonline,PartI71163100,AIG524Detail4,1348541513,90,91,JPG,25/09/2012  02:51:53
TRUE,fuploadtxbolonlinePartI,71263101AIG524Detail2134854166555.66.JPG,71263101AIG524Detail2134854166555.66.JPG,246,712,fuploadtxbolonlinePartI71263101AIG524Detail2134854166555.66.JPG,fuploadtxbolonline,PartI71263101,AIG524Detail2,1348541665,55,66,JPG,25/09/2012  02:54:25
TRUE,fuploadtxbolonlinePartIV,83163100AIG524Detail4134854188706.74.JPG,83163100AIG524Detail4134854188706.74.JPG,395,831,fuploadtxbolonlinePartIV83163100AIG524Detail4134854188706.74.JPG,fuploadtxbolonline,PartIV83163100,AIG524Detail4,1348541887,6,74,JPG,25/09/2012  02:58:07
TRUE,fuploadtxbolonlinePartIV,83263101AIG524Detail2134854250649.66.JPG,83263101AIG524Detail2134854250649.66.JPG,396,832,fuploadtxbolonlinePartIV83263101AIG524Detail2134854250649.66.JPG,fuploadtxbolonline,PartIV83263101,AIG524Detail2,1348542506,49,66,JPG,25/09/2012  03:08:26
TRUE,fuploadtxbolonlinePartIV,83363102AIG524Detail3134854250664.41.JPG,83363102AIG524Detail3134854250664.41.JPG,397,833,fuploadtxbolonlinePartIV83363102AIG524Detail3134854250664.41.JPG,fuploadtxbolonline,PartIV83363102,AIG524Detail3,1348542506,64,41,JPG,25/09/2012  03:08:26
TRUE,fuploadtxbolonlinePartII,76163240AIG525Detail1134854363993.87.JPG,76163240AIG525Detail1134854363993.87.JPG,1952,761,fuploadtxbolonlinePartII76163240AIG525Detail1134854363993.87.JPG,fuploadtxbolonline,PartII76163240,AIG525Detail1,1348543639,93,87,JPG,25/09/2012  03:27:19
TRUE,fuploadtxbolonlinePartII,76163200AIG525Detail2134854369830.65.JPG,76163200AIG525Detail2134854369830.65.JPG,1953,761,fuploadtxbolonlinePartII76163200AIG525Detail2134854369830.65.JPG,fuploadtxbolonline,PartII76163200,AIG525Detail2,1348543698,30,65,JPG,25/09/2012  03:28:18
TRUE,fuploadtxbolonlinePartII,76163210AIG525Detail3134854369852.05.JPG,76163210AIG525Detail3134854369852.05.JPG,1954,761,fuploadtxbolonlinePartII76163210AIG525Detail3134854369852.05.JPG,fuploadtxbolonline,PartII76163210,AIG525Detail3,1348543698,52,5,JPG,25/09/2012  03:28:18
TRUE,fuploadtxbolonlinePartI,71363200AIG525Detail2134854397545.99.JPG,71363200AIG525Detail2134854397545.99.JPG,247,713,fuploadtxbolonlinePartI71363200AIG525Detail2134854397545.99.JPG,fuploadtxbolonline,PartI71363200,AIG525Detail2,1348543975,45,99,JPG,25/09/2012  03:32:55
TRUE,fuploadtxbolonlinePartIV,83463200AIG525Detail2134854407563.55.JPG,83463200AIG525Detail2134854407563.55.JPG,398,834,fuploadtxbolonlinePartIV83463200AIG525Detail2134854407563.55.JPG,fuploadtxbolonline,PartIV83463200,AIG525Detail2,1348544075,63,55,JPG,25/09/2012  03:34:35
TRUE,fuploadtxbolonlinePartIV,83563201AIG525Detail1134854426663.98.JPG,83563201AIG525Detail1134854426663.98.JPG,399,835,fuploadtxbolonlinePartIV83563201AIG525Detail1134854426663.98.JPG,fuploadtxbolonline,PartIV83563201,AIG525Detail1,1348544266,63,98,JPG,25/09/2012  03:37:46
TRUE,fuploadtxbolonlinePartIV,83663202AIG525Detail3134854426704.45.JPG,83663202AIG525Detail3134854426704.45.JPG,400,836,fuploadtxbolonlinePartIV83663202AIG525Detail3134854426704.45.JPG,fuploadtxbolonline,PartIV83663202,AIG525Detail3,1348544267,4,45,JPG,25/09/2012  03:37:47
TRUE,fuploadtxbolonlineKerndaten,2710GZGHST06342D17134855507303.77.JPG,2710GZGHST06342D17134855507303.77.JPG,724,271,fuploadtxbolonlineKerndaten2710GZGHST06342D17134855507303.77.JPG,fuploadtxbolonline,Kerndaten2710,GZGHST06342D17,1348555073,3,77,JPG,25/09/2012  06:37:53
TRUE,fuploadtxbolonlinePartII,33527110GZGHST06342D10134855517520.18.JPG,33527110GZGHST06342D10134855517520.18.JPG,1961,335,fuploadtxbolonlinePartII33527110GZGHST06342D10134855517520.18.JPG,fuploadtxbolonline,PartII33527110,GZGHST06342D10,1348555175,20,18,JPG,25/09/2012  06:39:35
TRUE,fuploadtxbolonlinePartII,33527120GZGHST06342D11134855517531.29.JPG,33527120GZGHST06342D11134855517531.29.JPG,1962,335,fuploadtxbolonlinePartII33527120GZGHST06342D11134855517531.29.JPG,fuploadtxbolonline,PartII33527120,GZGHST06342D11,1348555175,31,29,JPG,25/09/2012  06:39:35
TRUE,fuploadtxbolonlinePartII,33527100GZGHST06342D17134855517508.96.JPG,33527100GZGHST06342D17134855517508.96.JPG,1960,335,fuploadtxbolonlinePartII33527100GZGHST06342D17134855517508.96.JPG,fuploadtxbolonline,PartII33527100,GZGHST06342D17,1348555175,8,96,JPG,25/09/2012  06:39:35
TRUE,fuploadtxbolonlinePartI,28127100GZGHST06342D07134855524746.25.JPG,28127100GZGHST06342D07134855524746.25.JPG,248,281,fuploadtxbolonlinePartI28127100GZGHST06342D07134855524746.25.JPG,fuploadtxbolonline,PartI28127100,GZGHST06342D07,1348555247,46,25,JPG,25/09/2012  06:40:47
TRUE,fuploadtxbolonlinePartIII,33527100GZGHST06342D06134855538133.6.JPG,33527100GZGHST06342D06134855538133.6.JPG,250,335,fuploadtxbolonlinePartIII33527100GZGHST06342D06134855538133.6.JPG,fuploadtxbolonline,PartIII33527100,GZGHST06342D06,1348555381,33,6,JPG,25/09/2012  06:43:01
TRUE,fuploadtxbolonlinePartIII,33527110GZGHST06342D07134855538161.8.JPG,33527110GZGHST06342D07134855538161.8.JPG,251,335,fuploadtxbolonlinePartIII33527110GZGHST06342D07134855538161.8.JPG,fuploadtxbolonline,PartIII33527110,GZGHST06342D07,1348555381,61,8,JPG,25/09/2012  06:43:01
TRUE,fuploadtxbolonlineKerndaten,2390GZGHST06022D11134855584886.62.JPG,2390GZGHST06022D11134855584886.62.JPG,725,239,fuploadtxbolonlineKerndaten2390GZGHST06022D11134855584886.62.JPG,fuploadtxbolonline,Kerndaten2390,GZGHST06022D11,1348555848,86,62,JPG,25/09/2012  06:50:48
TRUE,fuploadtxbolonlinePartII,30323910GZGHST06022D07134855593465.8.JPG,30323910GZGHST06022D07134855593465.8.JPG,1964,303,fuploadtxbolonlinePartII30323910GZGHST06022D07134855593465.8.JPG,fuploadtxbolonline,PartII30323910,GZGHST06022D07,1348555934,65,8,JPG,25/09/2012  06:52:14
TRUE,fuploadtxbolonlinePartII,30323920GZGHST06022D08134855593478.03.JPG,30323920GZGHST06022D08134855593478.03.JPG,1965,303,fuploadtxbolonlinePartII30323920GZGHST06022D08134855593478.03.JPG,fuploadtxbolonline,PartII30323920,GZGHST06022D08,1348555934,78,3,JPG,25/09/2012  06:52:14
TRUE,fuploadtxbolonlinePartII,30323900GZGHST06022D11134855593453.98.JPG,30323900GZGHST06022D11134855593453.98.JPG,1963,303,fuploadtxbolonlinePartII30323900GZGHST06022D11134855593453.98.JPG,fuploadtxbolonline,PartII30323900,GZGHST06022D11,1348555934,53,98,JPG,25/09/2012  06:52:14
TRUE,fuploadtxbolonlinePartI,24823900GZGHST06022D04134855606981.1.JPG,24823900GZGHST06022D04134855606981.1.JPG,249,248,fuploadtxbolonlinePartI24823900GZGHST06022D04134855606981.1.JPG,fuploadtxbolonline,PartI24823900,GZGHST06022D04,1348556069,81,1,JPG,25/09/2012  06:54:29
TRUE,fuploadtxbolonlinePartIII,30223900GZGHST06022D03134855644554.74.JPG,30223900GZGHST06022D03134855644554.74.JPG,252,302,fuploadtxbolonlinePartIII30223900GZGHST06022D03134855644554.74.JPG,fuploadtxbolonline,PartIII30223900,GZGHST06022D03,1348556445,54,74,JPG,25/09/2012  07:00:45
TRUE,fuploadtxbolonlinePartIII,30223910GZGHST06022D04134855644569.06.JPG,30223910GZGHST06022D04134855644569.06.JPG,253,302,fuploadtxbolonlinePartIII30223910GZGHST06022D04134855644569.06.JPG,fuploadtxbolonline,PartIII30223910,GZGHST06022D04,1348556445,69,6,JPG,25/09/2012  07:00:45
TRUE,fuploadtxbolonlineKerndaten,1960GZGHST05712D23134855690723.6.JPG,1960GZGHST05712D23134855690723.6.JPG,726,196,fuploadtxbolonlineKerndaten1960GZGHST05712D23134855690723.6.JPG,fuploadtxbolonline,Kerndaten1960,GZGHST05712D23,1348556907,23,6,JPG,25/09/2012  07:08:27
TRUE,fuploadtxbolonlinePartII,25419610GZGHST05712D19134855696898.96.JPG,25419610GZGHST05712D19134855696898.96.JPG,1967,254,fuploadtxbolonlinePartII25419610GZGHST05712D19134855696898.96.JPG,fuploadtxbolonline,PartII25419610,GZGHST05712D19,1348556968,98,96,JPG,25/09/2012  07:09:28
